,log2FoldChange,pvalue,padj
ENSMUSG00000023460,0.01603095219071757,0.8360142356120738,0.9032346944447031
ENSMUSG00000023467,-0.20574420652570025,0.725231511854215,0.8305035834087839
ENSMUSG00000023495,-0.29936091769658535,0.0073181328077012815,0.025024286249856052
ENSMUSG00000023505,0.7753851743193243,0.007926849250028983,0.02678542910291037
ENSMUSG00000023571,0.3653045735995748,0.3458850949967801,0.5103813420295602
ENSMUSG00000023572,-0.18665648179853683,0.03988193322723044,0.10074233754830018
ENSMUSG00000023707,-0.10937201293472736,0.24267449919375988,0.3979449381893212
ENSMUSG00000023723,-0.22886220336894297,0.007271736612472237,0.024898722900855815
ENSMUSG00000023755,-0.173437602891325,0.8106971842129009,0.8878735778579114
ENSMUSG00000023764,-0.13489815364866586,0.07474583927453038,0.1647396163539578
ENSMUSG00000023791,0.038392052423242846,0.7686918753917313,0.8594274649991267
ENSMUSG00000023795,-0.1718673435387192,0.685443482677522,0.8025604375138982
ENSMUSG00000023800,0.3498268740573055,0.001503035843214255,0.006424521147116523
ENSMUSG00000023805,1.1558382106144294,1.882694903425425e-15,3.002781674998464e-14
ENSMUSG00000023806,0.22738930134607263,0.006713656403642031,0.023282152114966155
ENSMUSG00000023809,-0.12546724632832423,0.5682481246264892,0.7113914840192901
ENSMUSG00000023826,-0.43701306835228826,0.37173649425919864,0.5372601165534955
ENSMUSG00000023827,-0.046085530589758394,0.8824852693935008,0.9322113518983521
ENSMUSG00000023828,1.6145886986674265,1.0725395040880668e-18,1.9713020718590075e-17
ENSMUSG00000023829,0.14916478972264927,1.3871938271787187e-13,2.0090886958548064e-12
ENSMUSG00000023830,-0.156627231426993,0.002108949003317325,0.008541464759238242
ENSMUSG00000023832,0.5942219816392541,2.0245377133406557e-64,9.986210145772008e-63
ENSMUSG00000023845,-0.11809917332694456,0.12808081618942496,0.24804813361120573
ENSMUSG00000023846,0.12187958194742547,0.0836702288436495,0.17983915677531734
ENSMUSG00000023852,-0.33438201670782053,2.636086907284508e-10,3.039473171140069e-09
ENSMUSG00000023861,-0.05072724617759586,0.12327714271408245,0.24098199624749542
ENSMUSG00000023868,0.24818883458962426,0.467293796970935,0.6268614937383148
ENSMUSG00000023873,-1.500130851232266,0.029982181479440827,0.08008562281333684
ENSMUSG00000023882,-0.1433664956974226,0.4989573863993335,0.6538281351739357
ENSMUSG00000023883,-0.24777291541315907,0.0022806628130183954,0.009152886189288018
ENSMUSG00000023885,0.5832606178378298,0.00978321180921595,0.03189926232787435
ENSMUSG00000023886,0.4241717212670087,0.012266250673332596,0.03849941942378165
ENSMUSG00000023892,-0.2457446303838141,0.11061518240717409,0.2219347369960183
ENSMUSG00000023904,0.23167546600900876,0.0004029304590959519,0.001989396660691526
ENSMUSG00000023905,-1.2348561193108503,7.073424729184653e-13,9.856191732299808e-12
ENSMUSG00000023906,2.100536773819047,0.01588344071231578,0.04766267077890055
ENSMUSG00000023908,0.4448351498369227,0.27939221111581897,0.43881346362330914
ENSMUSG00000023909,1.036948734146812,0.002037635893909907,0.008300543684980224
ENSMUSG00000023911,-2.0496975345798574,0.004931584346861638,0.017826909560102275
ENSMUSG00000023912,0.01878443685106495,0.954644085293576,0.974527243642391
ENSMUSG00000023913,0.025961629586637704,0.8744583475037249,0.9276324328095374
ENSMUSG00000023915,-0.3007691286399443,0.042455721212801695,0.10577277389130957
ENSMUSG00000023919,-0.060771412661434925,0.8079527542652443,0.8854769377890616
ENSMUSG00000023921,-0.008475117458701107,0.7384991112424782,0.8392850775467517
ENSMUSG00000023923,-0.10676617558772786,0.1843646686769818,0.32452469726415717
ENSMUSG00000023927,-1.1901198389464578,0.0047116020378597636,0.01713198866286314
ENSMUSG00000023932,-0.008072086864149303,0.9109360168745739,0.9491760251418335
ENSMUSG00000023938,0.03158347133016406,0.7371921850559868,0.8382934481166222
ENSMUSG00000023939,-0.09219254474525831,0.21292112043158645,0.36060653557955935
ENSMUSG00000023940,1.1157500168652077,0.20648770990053225,0.35206667621803617
ENSMUSG00000023942,0.3104489486646892,1.5091127115039746e-37,5.098291280724259e-36
ENSMUSG00000023944,0.1021657425569694,2.3507431680696527e-18,4.239850907923758e-17
ENSMUSG00000023947,-0.7144599390615124,0.0004574420462381526,0.0022229926823641288
ENSMUSG00000023951,0.22701184312931139,1.5657416374895394e-12,2.1242078331459576e-11
ENSMUSG00000023952,-0.02593467664043924,0.685942396916148,0.8027793106419352
ENSMUSG00000023953,0.23907441705636495,0.15449661989797484,0.28535390771681224
ENSMUSG00000023959,1.4150746074748966,3.602679696038149e-14,5.363719559029217e-13
ENSMUSG00000023960,-0.037879027274229274,0.5485482712306882,0.6947528104619028
ENSMUSG00000023961,0.03776791484467464,0.6515763990089578,0.77830833833484
ENSMUSG00000023963,-0.431079603715287,2.274254552819653e-06,1.7296658148267302e-05
ENSMUSG00000023965,-0.14528170503400498,0.06608724284325443,0.14947567275959642
ENSMUSG00000023966,0.9457812477263873,0.14670397241855454,0.2744411280952458
ENSMUSG00000023967,0.17237960912662206,0.02489129369324274,0.06858766434588161
ENSMUSG00000023968,0.5288963792956574,0.24860682654467298,0.40504862758792803
ENSMUSG00000023971,0.21662536743870514,0.04539329777647663,0.1115966758552584
ENSMUSG00000023972,0.30047652152601173,0.5571842216739455,0.7021194252713063
ENSMUSG00000023973,0.10785039906417129,0.09458138112907849,0.19738333917975706
ENSMUSG00000023977,0.06156969656701033,0.06603830995675501,0.14943067088118725
ENSMUSG00000023979,0.17077154754777743,0.6981173011701234,0.8116662953388438
ENSMUSG00000023980,0.24863298332978698,0.03243920348044353,0.08540737764914183
ENSMUSG00000023982,0.22528150806345132,0.6149610497586503,0.7487093799561393
ENSMUSG00000023984,-1.2347573210780662,0.06590021675234987,0.14918378980051755
ENSMUSG00000023988,-0.01098894415031946,0.9001377539302461,0.9426961594715147
